NombrePelicula;FechaLanzamientoEEUU;Director;Productor;Duracion;Genero;CalificacionIMDB;PromedioCriticas;Reparto;Presupuesto;RecaudacionEEUUCanada;RecaudacionGlobal;RecaudacionEEUUCanadaPrimeraSemana;NominacionesPremiosOscar;PremiosOscarGanados;FaseMCU
Iron Man;May 2, 2008;Jon Favreau;Avi Arad and Kevin Feige;2h 6min;Acción , Aventura, Ciencia Ficción;7,9;79;Robert Downey Jr. , Gweneth Paltrow , Terrence Howard;140000000;318604126;585366247;98618668;2;0;1
The incredible Hulk;June 13, 2008;Louis Leterrier;Avi Arad ,Gale Ann Hurd and Kevin Feige;1h 52min;Acción , Aventura, Ciencia Ficción;6,6;61;Edward Norton , Liv Tyler , Tim Roth;150000000;134806913;264770996;55414050;0;0;1
Iron Man 2;May 7, 2010;Jon Favreau;Kevin Feige;2h 4min;Acción , Aventura, Ciencia Ficción;7;57;Robert Downey Jr. , Gweneth Paltrow , Mickey Rourke;200000000;312433331;623933331;128122480;1;0;1
Thor;May 6, 2011;Kenneth Branagh;Kevin Feige;1h 55min;Acción , Aventura, Fantasía;7;57;Chris Hemsworth , Anthony Hopkins , Natalie Portman;150000000;181030624;449326618;65723338;0;0;1
Captain America: The first Avenger;July 22, 2011;Joe Jhonston;Kevin Feige;2h 4min;Acción , Aventura, Ciencia Ficción;6,9;66;Chris Evans ,  Hugo Weaving , Samuel L. Jackson;140000000;176654505;370569774;65058524;0;0;1
Marvel's the Avengers;May 4, 2012;Joss Whedon;Kevin Feige;2h 23min;Acción , Aventura, Ciencia Ficción;8;69;Robert Downey Jr. , Chris Evans , Scarlett Johansson , Jeremy Renner;220000000;623357910;1518812988;207438708;1;0;1
Iron Man 3;May 3, 2013;Shane Black;Kevin Feige;2h 10min;Acción , Aventura, Ciencia Ficción;7,1;62;Robert Downey Jr. , Gweneth Paltrow , Guy Pearce;200000000;408992272;1214811252;174144585;1;0;2
Thor: The dark world;November 8, 2013;Alan Taylor;Kevin Feige;1h 52min;Acción , Aventura, Fantasía;6,8;54;Chris Hemsworth ,  Natalie Portman , Tom Hiddleston;170000000;206362140;644783140;85737841;0;0;2
Captain America : The Winter Soldier;April 4, 2014;Anthony and Joe Russo;Kevin Feige;2h 16min;Acción , Aventura, Ciencia Ficción;7,7;70;Chris Evans , Scarlett Johansson , Samuel L. Jackson;170000000;259746958;714421503;95023721;1;0;2
Guardians Of the Galaxy;August 1, 2014;James Gunn;Kevin Feige;2h 1min;Acción, Aventura , Comedia;8;76;Chris Patt , Vin Diesel , Bradely Cooper;170000000;333714112;772776600;94320883;2;0;2
Avengers : Age of ultron;May 1, 2015;Joss Whedon;Kevin Feige;2h 21min;Acción , Aventura, Ciencia Ficción;7,3;66;Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo;250000000;459005868;1402805868;191271109;0;0;2
Ant-Man;July 17, 2015;Peyton Reed;Kevin Feige;1h 57min;Acción, Aventura , Comedia;7,3;64;Paul Rudd , Michael Douglas , Corey Stall;130000000;180202163;519311965;57225526;0;0;2
Captain America: Civil War;May 6, 2016;Anthony and Joe Russo;Kevin Feige;2h 27min;Acción , Aventura, Ciencia Ficción;7,8;75;Robert Downey Jr. , Chris Evans , Scarlett Johansson , Sebastian Stan;250000000;408084349;1153296293;179139142;0;0;3
Doctor Strange;November 4, 2016;Scott Derrickson;Kevin Feige;1h 55min;Acción , Aventura, Fantasía;7,5;72;Benedict Cumberbatch , Chiswetel Ejiofor , Racheal McAdams;165000000;232641920;677718395;85058311;1;0;3
Guardians of the Galaxy Vol. 2;May 5, 2017;James Gunn;Kevin Feige;2h 16min;Acción, Aventura , Comedia;7,6;67;Chris Patt ,  Zoe Saldana , Dave Bautista , Vin Diesel;200000000;389813101;863756051;146510104;1;0;3
Spider-Man:Homecoming;July 7, 2017;Jon Watts;Kevin Feige and Amy Pascal;2h 13min;Acción , Aventura, Ciencia Ficción;7,4;73;Tom Holland , Michael Keaton , Robert Downey Jr.;175000000;334201140;880166924;117027503;0;0;3
Thor:Ragnarok;November 3, 2017;Taika Waititi;Kevin Feige;2h 10min;Acción, Aventura , Comedia;7,9;74;Chris Hemsworth ,  Cate Blanchett , Tom Hiddleston;180000000;31505828;853977126;122744989;0;0;3
Black Panther;February 16, 2018;Ryan Coogler;Kevin Feige;2h 14min;Acción , Aventura, Ciencia Ficción;7,3;88;Chadwick Boseman , Michael B. Jordan , Lupita Nyong'o;200000000;70005956;1346913161;202003951;7;3;3
